CustomerId,Name,Email,Password,Company,Phone
23267,Blithe Dutton,bdutton0@hhs.gov,yK7<S5|f+j}cz,Dabtype,911-496-7759
18743,Brandon Gamage,bgamage1@hc360.com,oG6!J_V6E,Kanoodle,319-946-9090
20437,Ambrose Grovier,agrovier2@webeden.co.uk,"iC4,yB)aN6}D__R",Babbleblab,995-804-5294
18649,Ameline Aery,aaery3@wikimedia.org,tH5=@/gV}(,Wordtune,438-840-6053
13477,Jeffie Prettjohn,jprettjohn4@artisteer.com,lW3(|&<&,Oyoba,430-567-2878
22999,Edmund Giovanetti,egiovanetti5@mtv.com,nP0~y%hzj,Quimba,483-547-4716
21957,Sherilyn Spears,sspears6@hud.gov,"aA2,kxBj6R",Aimbo,451-831-6307
22630,Tedd Hullbrook,thullbrook7@w3.org,"mY5=,p3B1q!?>",Skippad,937-980-7701
23955,Vachel Grenfell,vgrenfell8@google.com.br,bR4'M1$wc!QvP,Jabbercube,933-366-3255
14843,Daffy Bernard,dbernard9@cdc.gov,oS2&LIU@Z,Zoomzone,211-148-1067
